epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.301,1.65374,3.28175,0.83397,0.01171,1,0.01861,0.00841,1.16162,4.09988,0.78633,0.000460968,0.000460968,0.000460968
2,28.0682,1.25554,1.82025,0.80495,0.01015,1,0.06414,0.04344,1.10785,3.52152,0.79638,0.000918743,0.000918743,0.000918743
3,41.8274,1.22128,1.32282,0.7971,0.96496,0.23702,0.92858,0.74032,0.95516,2.53874,0.80222,0.00135765,0.00135765,0.00135765
4,55.5469,1.12131,1.03223,0.80413,0.99327,0.97046,0.99304,0.75462,0.94343,1.70906,0.80759,0.00134412,0.00134412,0.00134412
5,69.0504,1.08245,0.93257,0.79571,0.98032,1,0.99461,0.78615,0.88039,1.02841,0.79722,0.00131582,0.00131582,0.00131582
6,82.751,1.12704,0.91589,0.78654,0.99328,1,0.99446,0.79531,0.84796,0.88464,0.7935,0.00128753,0.00128753,0.00128753
7,96.5836,0.95613,0.81977,0.78509,0.99878,0.99988,0.995,0.86338,0.63711,0.71335,0.78226,0.00125923,0.00125923,0.00125923
8,110.057,0.84201,0.74016,0.77435,0.99779,1,0.995,0.849,0.60878,0.6907,0.77753,0.00123094,0.00123094,0.00123094
9,123.744,0.83409,0.72427,0.77765,0.99892,1,0.995,0.83697,0.68085,0.64716,0.77676,0.00120265,0.00120265,0.00120265
10,137.677,0.85833,0.69839,0.76994,0.99785,1,0.995,0.8515,0.62449,0.64483,0.77824,0.00117435,0.00117435,0.00117435
11,151.458,0.80088,0.66895,0.77041,0.99855,1,0.995,0.83072,0.68464,0.59458,0.77654,0.00114606,0.00114606,0.00114606
12,165.14,0.78025,0.62121,0.77768,0.99792,1,0.995,0.83699,0.67292,0.5892,0.78033,0.00111776,0.00111776,0.00111776
13,178.719,0.78105,0.62532,0.77684,0.99866,1,0.995,0.84147,0.72907,0.57895,0.77127,0.00108947,0.00108947,0.00108947
14,192.414,0.79733,0.60746,0.77075,0.99878,1,0.995,0.87747,0.59382,0.53063,0.76797,0.00106118,0.00106118,0.00106118
15,206.169,0.76686,0.5988,0.76747,0.99863,1,0.995,0.89045,0.5405,0.52714,0.76646,0.00103288,0.00103288,0.00103288
16,219.824,0.70449,0.58093,0.76339,0.99893,1,0.995,0.90065,0.48719,0.5094,0.76606,0.00100459,0.00100459,0.00100459
17,233.433,0.66543,0.55841,0.76858,0.99896,1,0.995,0.88095,0.53017,0.49269,0.76841,0.000976293,0.000976293,0.000976293
18,247.129,0.68658,0.55038,0.76362,0.99881,1,0.995,0.89262,0.5153,0.47988,0.7674,0.000947999,0.000947999,0.000947999
19,260.968,0.61891,0.52308,0.76056,0.99866,1,0.995,0.90288,0.46892,0.4621,0.76354,0.000919704,0.000919704,0.000919704
